,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Pair,Root,Subcategory
0,KEGG_2021_Human,Cytokine-cytokine receptor interaction,187/295,2.727166310777179e-83,8.617845542055886e-81,0,0,10.738855723413472,2041.57781811489,CNTF;IL1RN;CSF3;TNFRSF6B;CSF2;CSF3R;CSF1;EPO;CXCL17;IL5RA;IL1RAP;CXCL13;CXCL14;TNF;CXCL16;IL36A;IL18RAP;TNFSF10;LEPR;IL12B;TNFSF11;TNFRSF8;IL13RA2;IL6R;TNFRSF4;IL13RA1;IL15RA;IL4R;IL1R1;IL1R2;LIFR;EDAR;IL6ST;IFNAR1;CSF1R;CSH1;IL20RA;IL20RB;CSF2RB;TNFRSF11B;TNFRSF11A;CSF2RA;THPO;TNFRSF17;TNFRSF14;NGFR;TGFB2;TGFB1;TNFSF14;TSLP;TNFSF12;TNFRSF9;TNFSF13;GDF2;IL31RA;LIF;TNFRSF10C;IL36G;TNFRSF10B;IFNLR1;INHBB;TNFRSF10A;PPBP;INHBC;BMP6;IFNW1;IL2;IL22RA1;BMP4;GH2;IL4;CXCL10;GH1;IL3;CXCL11;IL6;CXCL12;IL5;IL7;IL9;CD27;TNFSF8;IL7R;ACVRL1;IL22;CXCL6;CD40;BMP10;CXCL9;IL20;CXCL8;IL25;MSTN;TNFRSF13B;IL24;CXCL1;FASLG;PRL;TNFRSF13C;CXCL3;CX3CL1;EDA2R;CXCL5;TNFSF13B;GHR;IL10;IL11;TNFRSF12A;IFNGR1;IL15;IFNGR2;IL13;TNFRSF19;IL18;IL19;IL16;OSMR;NGF;TNFRSF1B;IL17RB;TGFBR1;IL17RA;TGFBR2;TNFRSF1A;IL1A;IFNG;IL1B;IL3RA;LTA;XCL1;LTB;TNFRSF21;CCL14;CCL13;CCL11;CTF1;IL2RG;IL1RL1;IFNL2;IL1RL2;CCL8;IFNL1;CCL7;CCL5;CCL4;CCL3;IL21R;CCL2;CCL19;CCL18;IL12RB1;CCL17;RELT;CCL16;CCL15;IL12RB2;CCL25;IL32;CCL24;IL33;CCL23;CCL22;IL31;CCL21;CCL20;CD70;GDF15;IL10RB;IL10RA;IL34;OSM;CD4;CD40LG;IL2RA;LEP;IL2RB;FAS;IL17F;LTBR;IL17D;CCL28;IL17C;CCL27;IL18R1;CCL26;IL17A;PF4,0,Environmental Information Processing,Signaling molecules and interaction
1,KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,71/100,3.6175635150868406e-37,5.715750353837208e-35,0,0,14.63471490061421,1227.9966984973253,CXCL6;CXCL9;CXCL8;IL20;CSF1;IL24;CXCL1;CXCL13;CXCL3;CXCL14;TNF;CX3CL1;CXCL5;IL18RAP;TNFSF10;IL6R;IL10;IL18;IL19;TNFRSF1B;TNFRSF1A;LTA;XCL1;IL6ST;CCL14;CSF1R;CCL13;CCL11;IL20RA;IL20RB;IL2RG;CCL8;CCL7;CCL5;CCL4;CCL3;CCL2;TNFRSF14;CCL19;CCL18;CCL17;CCL16;CCL15;CCL25;CCL24;CCL23;CCL22;TNFSF14;CCL21;CCL20;IL10RB;IL10RA;IL34;TNFRSF10C;TNFRSF10B;TNFRSF10A;PPBP;IL2;IL22RA1;CXCL10;CXCL11;IL6;CXCL12;IL2RA;IL2RB;LTBR;CCL28;CCL27;IL18R1;CCL26;PF4,0,Environmental Information Processing,Signaling molecules and interaction
2,KEGG_2021_Human,PI3K-Akt signaling pathway,149/354,1.0631672759448976e-36,1.1198695306619583e-34,0,0,4.4207150016705645,366.1758290553132,ATF2;CSF3;CHRM1;CSF3R;CSF1;EPO;TNC;FGF2;FGF3;IGF1R;COMP;FGF5;TCL1B;FGF6;TCL1A;FGF7;STK11;CCND2;FGF9;TNN;AKT2;AKT3;KDR;TNR;IL6R;PDGFRB;PDGFRA;MAP2K1;IL4R;HGF;F2R;FLT3LG;TSC1;PGF;EREG;CCNE1;COL4A1;CDC37;COL4A4;TP53;ATF4;EPHA2;IFNAR1;CSF1R;CSH1;PDGFB;PDGFA;TGFA;FOXO3;EFNA4;HSP90B1;BCL2L11;PDGFC;CHAD;EIF4EBP1;FGF20;FGF23;FGF21;NGFR;BDNF;INSR;FN1;IL2;NFKB1;COL1A1;EFNA1;GH2;IL4;FGF16;GH1;IL3;IL6;IL7;FGF19;ITGA11;COL9A1;BCL2;COL9A2;FGFR4;IL7R;FGFR2;BCL2L1;ITGB1;CDKN1A;FLT1;ITGB5;FLT3;FLT4;PTEN;FASLG;PRL;AREG;GNGT1;CASP9;GHR;GYS1;YWHAQ;ITGAV;ITGB7;IKBKG;ITGB6;HRAS;VWF;ITGA2;PPP2R5A;OSMR;NGF;CREB3;COL2A1;KIT;IL3RA;COL6A3;ITGA6;ITGA5;TLR4;MET;TLR2;TNXB;PKN3;LAMA1;LAMA4;IL2RG;THBS2;EGFR;THBS4;NTF4;ERBB3;ERBB4;NTF3;ERBB2;SPP1;EIF4E;EIF4B;NTRK2;ANGPT2;ANGPT1;EGF;NOS3;OSM;VEGFB;VEGFC;VEGFD;LAMB1;VEGFA;KITLG;IL2RA;IL2RB;TEK;PIK3AP1,0,Environmental Information Processing,Signal transduction
3,KEGG_2021_Human,JAK-STAT signaling pathway,85/162,8.814751268878565e-30,6.963653502414065e-28,0,0,6.612485470836422,442.3827249217253,IL22;CNTF;CSF3;CDKN1A;CSF2;CSF3R;IL20;EPO;IL24;IL5RA;PRL;GHR;CCND2;AKT2;AKT3;LEPR;EP300;IL12B;IL13RA2;IL6R;HRAS;IL13RA1;PDGFRB;IL10;IL15RA;PDGFRA;IL11;IL4R;IFNGR1;IL15;IFNGR2;IL13;IL19;LIFR;OSMR;IFNG;IL3RA;IL6ST;IFNAR1;CTF1;CSH1;IL20RA;PDGFB;IL20RB;PDGFA;CSF2RB;IL2RG;CSF2RA;EGFR;IFNL2;IFNL1;THPO;IL21R;IL12RB1;IL12RB2;STAT5B;TSLP;EGF;IL10RB;IL10RA;STAT2;LIF;OSM;IFNLR1;STAM;IFNW1;IL2;GFAP;GH2;IL22RA1;IL4;GH1;IL3;IL6;IL5;IL7;IL2RA;LEP;IL9;IL2RB;BCL2;PTPN6;IL7R;IL17D;BCL2L1,0,Environmental Information Processing,Signal transduction
4,KEGG_2021_Human,Pathways in cancer,179/531,3.474414852309302e-29,2.1085668378009527e-27,0,0,3.0995053256692287,203.10916323927705,CSF3R;EPO;ARAF;IL5RA;FZD10;FGF2;FGF3;CRKL;IGF1R;FGF5;FGF6;FGF7;EDNRB;CCND2;FGF9;CDH1;AKT2;AKT3;IL12B;EP300;IL6R;IL13RA1;PDGFRB;IL15RA;PDGFRA;MAP2K1;IL4R;TPM3;DAPK2;HGF;F2R;FLT3LG;PGF;BCR;CCNE1;COL4A1;COL4A4;IL6ST;TP53;IFNAR1;NOTCH2;CSF1R;NOTCH3;NOTCH1;MAX;PDGFB;PDGFA;TGFA;KLK3;CSF2RB;STK4;HIF1A;CSF2RA;FOXO1;HSP90B1;BCL2L11;TPR;ABL1;FGF20;HMOX1;FADD;GSTT2B;FGF23;FGF21;GSTM4;SMAD2;ZBTB17;STAT5B;JUN;TGFB2;SMAD3;TGFB1;GADD45B;ZBTB16;FN1;FZD8;ESR1;NFKB1;IL2;NFKB2;BMP4;IL4;FGF16;IL3;IL6;CXCL12;IL5;IL7;FGF19;BCL2;GNAS;FGFR4;IL7R;FGFR2;BCL2L1;RET;ITGB1;CDKN1A;CXCL8;FLT3;FLT4;PTEN;FASLG;GLI2;GNGT1;CASP9;SHH;CASP7;CASP8;CASP3;RAC3;ELOB;ITGAV;IKBKG;HRAS;EDN1;ARHGEF12;IFNGR1;IL15;DCC;MMP1;IFNGR2;ITGA2;IL13;AXIN1;ARNT;TRAF2;FOS;WNT9A;F2;MMP9;TGFBR1;TGFBR2;IFNG;TRAF3;IL3RA;KIT;ITGA6;ARHGEF1;PLCB1;PLCB2;MET;BIRC2;CEBPA;FH;RALB;LAMA1;GSTP1;LAMA4;XIAP;IL2RG;DLL1;EGFR;DLL4;MAPK9;ERBB2;CTNNA1;BID;IL12RB1;IL12RB2;EGLN1;NOS2;EGF;STAT2;TXNRD1;VEGFB;VEGFC;VEGFD;LAMB1;AGT;VEGFA;KITLG;RAD51;GSTA3;IL2RA;IL2RB;GSTA1;FAS;BAX,0,Human Diseases,Cancer: overview
5,KEGG_2021_Human,Complement and coagulation cascades,58/85,4.0036079198752267e-29,2.1085668378009527e-27,0,0,12.783918298752504,835.9119319464396,ITGAM;SERPINA1;PROS1;ITGB2;SERPINE1;PLAT;C4BPB;C8B;CLU;SERPINA5;THBD;PLAU;ITGAX;VSIG4;MBL2;FGA;CR2;CR1;VWF;F2R;SERPINF2;PLAUR;F2;F3;F7;PROCR;F9;SERPING1;MASP1;CD46;CFB;CFD;C1QA;CPB2;C1S;CFH;C1R;SERPINC1;CFI;PLG;TFPI;C2;C3;C5;C7;C9;CD59;CD55;F10;SERPIND1;F12;F11;PROC;CFHR2;CFHR4;CFHR5;F13B;KLKB1,0,Organismal Systems,Immune system
6,KEGG_2021_Human,MAPK signaling pathway,119/294,1.1568012923038402e-27,5.205343467857409e-26,0,0,4.098915834522111,254.23172473714504,ATF2;CSF1;ARAF;IL1RAP;FGF2;TNF;FGF3;CRKL;IGF1R;FGF5;FGF6;FGF7;FGF9;AKT2;AKT3;KDR;MAP3K5;PDGFRB;PDGFRA;MAP2K1;IL1R1;HGF;FLT3LG;PGF;EREG;CACNB1;CACNB3;MAPKAPK2;TP53;ATF4;EPHA2;CSF1R;MAX;PDGFB;PDGFA;TGFA;CACNA1C;STK4;EFNA4;CACNA1H;PPP3R1;RAP1A;RRAS;IRAK1;PDGFC;FGF20;CD14;FGF23;FGF21;MAP2K6;NGFR;JUN;TGFB2;TGFB1;GADD45B;BDNF;INSR;NFATC3;NFATC1;HSPA2;NFKB1;NFKB2;EFNA1;FGF16;FGF19;TAB2;FGFR4;FGFR2;PTPRR;FLT1;FLT3;FLT4;RASGRF1;HSPB1;FASLG;AREG;CASP3;RAC3;IKBKG;HRAS;DUSP3;PLA2G4A;TRAF2;FOS;IRAK4;NGF;TGFBR1;TGFBR2;TNFRSF1A;IL1A;PPM1A;PPM1B;IL1B;RASA1;KIT;RAPGEF2;MAPT;MET;EGFR;RELB;NTF4;MAPK9;ERBB3;ERBB4;NTF3;ERBB2;NTRK2;ANGPT2;ANGPT1;EGF;VEGFB;VEGFC;VEGFD;VEGFA;MAPK13;KITLG;FAS;TEK;HSPA1A,0,Environmental Information Processing,Signal transduction
7,KEGG_2021_Human,Cell adhesion molecules,78/148,1.317808472875294e-27,5.205343467857409e-26,0,0,6.661039417524479,412.27722402485625,CD86;ITGB1;CNTNAP2;CD40;ITGAM;CD80;ITGB2;ICAM2;ICAM3;PTPRM;F11R;ITGAL;PVR;PTPRF;VSIR;ICAM1;CDH5;CDH4;ALCAM;CDH3;CDH2;CDH1;CTLA4;NRCAM;ITGAV;ITGB7;CD34;NEO1;ICOSLG;HLA-A;PDCD1LG2;HLA-E;MAG;VCAN;CD8A;PECAM1;CD226;ITGA6;CDH15;CD274;NLGN1;NLGN2;SELPLG;SDC4;NRXN3;CD99L2;VTCN1;NCAM1;CD58;NCAM2;TIGIT;CD99;JAM2;CD276;JAM3;VCAM1;L1CAM;SELE;SELP;CD2;OCLN;CD4;NFASC;PTPRC;CD40LG;SELL;CD6;CD28;CNTN1;CNTN2;HLA-DRA;SDC1;ESAM;PDCD1;SIGLEC1;CD22;NECTIN2;NECTIN1,0,Environmental Information Processing,Signaling molecules and interaction
8,KEGG_2021_Human,Hematopoietic cell lineage,60/99,6.64221296548167e-26,2.3321547745468974e-24,0,0,9.155538837690427,530.7810774593211,CSF3;CSF2;CSF3R;ITGAM;CSF1;TFRC;EPO;FLT3;IL5RA;CD3G;CD3E;TNF;CD3D;ANPEP;CD38;CD36;IL6R;CD34;CD33;IL11;CR2;IL4R;CR1;MME;IL1R1;GP1BB;IL1R2;ITGA2;FLT3LG;GP1BA;FCER2;IL1A;CD8A;IL1B;IL3RA;KIT;ITGA6;ITGA5;CSF1R;CD1C;CSF2RA;THPO;CD59;CD14;CD55;GP5;IL4;CD2;IL3;IL6;CD4;KITLG;IL5;IL7;CD5;IL2RA;CD7;HLA-DRA;IL7R;CD22,0,Organismal Systems,Immune system
9,KEGG_2021_Human,Rheumatoid arthritis,53/93,2.7197123031986086e-21,8.594290878107603e-20,0,0,7.86551393728223,372.4616659408856,CD86;CXCL6;CSF2;CXCL8;FLT1;CSF1;CD80;ITGB2;CXCL1;CXCL3;ITGAL;TNF;CXCL5;ICAM1;TNFSF13B;CTSL;ACP5;CTLA4;TNFSF11;IL11;ATP6V1G1;ATP6V1G2;IL15;MMP1;MMP3;IL18;FOS;IL1A;IFNG;IL1B;LTB;TLR4;TLR2;PTH;TNFRSF11A;CCL5;CCL3;CCL2;ATP6V1D;ATP6V1F;JUN;TGFB2;TGFB1;ANGPT1;CCL20;TNFSF13;VEGFA;IL6;CXCL12;CD28;HLA-DRA;TEK;IL17A,0,Human Diseases,Immune disease
